*propname*'s?,,,
downtown comedy club tomorrow.  9pm.  be there.,,,
wants to join the circus or pack parachutes,,,
:]],,,
found a feather sticking out of his wendy's chicken nugget....at least now we know it's made from a bird right?,,,
about to make a triple layer chocolate mousse torte for tomorrow :),,,
108. nearly in double digits.,,,
dream great...achieve greatness,,,
"ok, the new *propname* & *propname* is kind of amazing. now who is coming with me on 10//22?",,,
"is thinking that some people, once gone, need not ever come back into your life...ever.",,,
hoidia celebro mi pertenencia a mas de 100 grupos! :d,,,
its snowing this morning........                  is that supposed to happen??,,,
is going to get gothed up and head to dracula's ball. project pitchfork and carfax abbey tonight.,,,
"i can really see this dislike button being abused for very ironic purposes... (now, joy, i get to read jane eyre)",,,
my immune system is battling the cold. there is most uncivil war going on in the body. collateral damage may be my ability to breathe and form coherent sentences,,,
hates being in the house. nowhere to go...ugh,,,
school until 7:30 then home to see *propname*. happy anniversary!,,,
emt exam has got me stressssssssing!!!!! ahhhhhhhh. too much crap,,,
"rule of the great:    when people you greatly admire appear to be thinking deep thoughts, they are probably thinking about lunch.",,,
"like fire, hellfire,  this fire in my skin.        this burning, desire,         is turning me to sin.  | it's not my fault; i'm not to blame.   it is the gypsy girl; the witch who sent this flame  | it's not my fault; if in god's plan.  he made the devil so much stronger than a man",,,
wilco or bust yeehaw!!1!!11,,,
brand-new whiteboard markers make me happy...so inky!,,,
grilling with the battalion,,,
"eeeeeehhhhhhhhh, ppppppuuuuuuuuttttttoooooooo! 1-0 mexico",,,
*propname* is coming back to the wwe,,,
happy thanksgiving everybody! i'm thankful for friends to share thanksgiving with:) now time to make some yummy food to share later,,,
"the soup: the verdict type: vegetable appearance: fantastic texture: good taste: poor overall: edible but not pleasant summary: this is a great soup for looking at, it is full of colour, healthy vegetables and creaminess! if you are not hungry make this soup and you will feel good! however, if eating is your thing, this soup should be avoided. i have soup left for 3 meals - any takers? only p&p to pay! enjoy!",,,
"""the star burnned like a flame, pointing the way to god, the king of kings; the wise men saw the sign and brought their gifts in homage to their great king.""  ""seeing the star, the wise men said: this must signify the birth of some great king. let us search for him and lay treasures at his feet: gold, frankincense, and myrrh.""",,,
"huh, chestnuts look eerily like brains...",,,
"""twist it, shake it, shake it, shake it, shake it, baby..""",,,
"the robbed that smiles, steals something from the thief.  ~william shakespeare, othello",,,
july 4th=extra servings of gaperade,,,
the weather suddenly snapped into autumn.,,,
feeling the burn in my shoulders and triceps from the gym.,,,
"hm...started the day out feeling ok, but now i feel like three-week-old leftovers molding in the back of a broken fridge in hell...yes, a hell-fridge. guess work doesn't agree with me!",,,
is wishing *propname* a happy 2nd birthday. i love you!,,,
earned another freckle or two from running the *propname* marathon today!!,,,
"""every treachery, great or small, begets a spirit that rages at the injustice. given the opportunity, each will return that treachery to its owner tenfold.""",,,
had a great time at the devil makes three new years and now its time to pack for semester at sea!!!!,,,
first snow in the city and i was out in the snow~!!! .........alone.,,,
back in el :-),,,
"saw a nun zombie, and liked it. also, *propname* + tentacle!man + psychic powers = great party.",,,
doesn't want to say goodbye next week.  : (,,,
"""i'll stay on the bleachers"" - favorite quote for now.. ^_^",,,
"off to the art museum!  sorry proposal, i'll work on you later...probably...",,,
"""i will slaughter them like a wolf among lambs. the seas will run red with the blood of my enemies!"" ""no, i will have my cupcakes, piping hot from their forty watt womb."" ""that tears it how many times today will i have to hear the word womb?""",,,
"is wondering how many people know that the united states' independence day is actually the day that they published the declaration of independence, not the day they signed it into law.",,,
"was a huge baby when he had his wisdom teeth out a few years ago. just splayed out on the couch whining constantly. his sister, however, had them out today and treated it like it was nothing!",,,
"just got to know that my co-worker was going to call cops on me ,cause that person did not know that  i was new to the work place. fun  huh?",,,
"""are you saying my granny was a skank ass ho-bag?""",,,
"really wants to chop all her hair off... well, not all of it, just a lot of it...",,,
"it'a kinda like de ja vu - working at home, wathcing the *propname* (steelers) game, and snow is still on the ground.  good thing i know its sunday!",,,
just cries and cries without ever knowing why.,,,
the new droid phone is the sweetest phone ever. xmas has come early bitches!,,,
today feels like forever!!!,,,
"has learned that standing in front of her open refridgerator and freezer doesn't make any of her food look any more appetizing, but it does start defrosting the food in her freezer.",,,
is at the inkwell cafe in the bk tonight tellin jokes.  9pm.  come out!,,,
going to the dentist to reverse the effects of continual coffee drinking.,,,
fine weather for a walk,,,
between two evils i always pick the one ive never tried before,,,
ahhhh!! what is this strange white stuff coming from the sky?!,,,
"congratulations to all of my friends, especially *propname*, who passed the lousiana bar, and for those of you who didn't, i'll be taking barbri this february...so we can study together like old times!",,,
military science iii,,,
has a long but exciting work day.,,,
little dee is your hero.,,,
never thought helping with burning gift wedding cds would be so terribly difficult,,,
"homecoming, the hunt, and jacqueline's birthday all this weekend!  fml, america, i miss you! no amount of red wine and croissants can console...wish i could be there!  ....happy birthday jacs!!! :(",,,
i think its fun to run circles around someone while they are running... and its even better if they get tired first!,,,
had a great game night with the family...we should do that more often when i am home...next time with drinks!,,,
is very happy - for myself n for charlotte woop :d  p.s. cheers for the car lol :p,,,
has heard *propname*'s tragic call to keep my shit together and live life properly. love those you have and avoid drama.,,,
"i think we're walking step in step, but you don't speak your mind. i think i see it in your eyes, but maybe its just a reflection of mine.",,,
damn... stumbleupon has stopped working.,,,
loves how life is fun but oh so drama free. :d,,,
louisiana justice of the peace who refused to marry an interracial couple: i'm not a racist . . . i have piles and piles of black friends. sure you do.,,,
i am a chinese hippie,,,
feels rather sickly... ://,,,
thinks the orlando magic should change their name to the orlando joke.,,,
i am feeling strangely homesick from thinking about my birthday...i havent had a good one since college...maybe i will just stop trying to make it special,,,
it was actually summer today! cool!,,,
"5 days, until i leave waco forever!!!!!!!!!!!!!!!",,,
"walked out of her house and onto a movie site this morning....""cut!!!""...she said sorry and hurried out of the way....wow the lights were so bright!",,,
off to san fran.,,,
"bought ""season 1"" of the old thundercats cartoon; watching the shit out of this old nostalgic favorite right now. on an unrelated note, i have tons of homework. looks like a good combination.",,,
"*propname* ""noel"", christmas slippers, hot cocoa, soft blanket, and a book. just missing the snow!",,,
happy halloween everyone :-),,,
on my way to new york!!,,,
pandora is in fact the greatest invention of all time. i owe my entire current quasi-sanity to its existence.,,,
is thanking everyone for the birthday wishes :o) cleaning my apartment!! laundry//dishes//the usual,,,
needs the internetz at her new house...,,,
is soooo excited for tlc tonight!  two ladder matches!,,,
it was hot! it was hot.,,,
can't believe the new semester is starting so soon...,,,
football.. fun fun and fun,,,
loves *propname* day <3 <3 <3,,,
"ugggh, why did i eat those donuts?  never again!",,,
"ahhh... this is beautiful *propname*... i have so many true, yet politically incorrect things to say, but will instead keep them to myself...",,,
"i'm sad that i'm not getting on a plane tomorrow with my divegroup to scuba in bonaire.  instead, i get to work, work, work!  have fun all!",,,
s tuesday sucked...but wednesday is another day.,,,
"s mom can't find a cheap orange jansport backpack online because *propname* used one in twilight, so everyone's paying top-dollar for them.  hilarious.  :d",,,
"is happy to have a new, working laptop.",,,
rip *propname*,,,
my penguins are smaller than your penguins.,,,
could only gaze on *propname* from afar today at disney world:(,,,
er i stavanger.,,,
pourquoi il pleut chaque fois que je sort mes blades!!!!!!!,,,
likes windows. they are very appealing to wandering minds.,,,
"really hopin this campin thing isnt goin to be as bad as im imaginin - no msn, n minimal hygiene *hides* bye ppl see u in 3 days!",,,
first day of school = tired + scared for when real work comes.,,,
arrrrrrrr why did they cancel trauma!?,,,
is holding *propname* in the light...,,,
"needs, wants, yearns.",,,
bored bored bored.....not ready for thursday! i don't have 2 tunes memorized!!! :(,,,
i think i would be dead without my heating pad. i am completely serious.,,,
can't wait to go to texas!!!!! :d,,,
"why so early? it was expected, but no school already?! zippadee zoodah, zippadee day...",,,
what a night last night... my liver took one for the team,,,
hopes they schedule her c-section at her doctor's appointment on wednesday.,,,
got a doggie!! what to name it?,,,
feliz navidad! xdxd,,,
has recooped from working out and has caught a cleaning bug!,,,
listening to hare krishna ..just in case :d,,,
had a solid set tonight at wild wednesdays.  get ready for the long version friday and saturday at the downtown comedy club!,,,
i woke up with the roots stuck in my head...weird,,,
just went to a bar with my mom and a bunch of other old people in alaska. wtf?,,,
is 65 degrees 87 percent humidity warm enough to go out tonight in shorts hmm,,,
so many cookies haha,,,
just burned out.,,,
is talking to *propname* :d,,,
"is excited her :d for serious, that's all i can think about",,,
"okay, songs for bass//low baritone and orchestra: songs and dances of death the vagabond le bal masque old american songs ich habe genug the ravel and ibert don quixote cycles then all those mozart concert arias what else?",,,
watching basketball is giving me heartburn...,,,
is happy.  simple as that.,,,
done with finals,,,
disneyland tomorrow =]] going with maddie going to be awesome!!,,,
i have a slash in my convertable top.  2 days before i leave for my beach vacation.  someone is a serious asshole.,,,
will not be going on the fall 2009 semester at sea voyage. doctor's orders. i have never been so devastated in my entire life...,,,
"is sitting in an english garden, waiting for the sun.",,,
"finally caved and saw avatar. as i suspected, real life now looks bland and 2-d. =//",,,
"""oath keepers"" the latest conspiracy group diverting extreme conservatives from actually doing the people's business....i think william f. buckley, jr. just did a 360 turn in his grave.",,,
is praying for a phone call from the doctors saying the neurologist accepted his referal and will see him soon.,,,
it seems that apple instead of creating a tablet mac they created a big iphone and one that doesn't seem to improve drastically on it. :(,,,
loves his poster of a chimp with a sunflower in his mouth. just thought i'd put that out there.,,,
one more final left and then i'm done!! :),,,
"...my doctor says i have ""a cute virus""or something like that bahahahaha no h1n1 hereyet! bath, lots of liquids and i might even take a nap. need to get better for date night with *propname* tomorrow!",,,
is going on a road trip to co! wish me luck,,,
apparently you're not a golfer.,,,
"is sitting in my bed with all four cats. yes, i am just that awesome.",,,
is in the bluff!,,,
"[c] legal writing sucks. [r] something is deemed to ""suck"" if it takes an innordinate amount of time to complete in mind numbing silence that slowly drives you fucking crazy. [e] in berkovitch it was determined that working on ""pennoyer"", an outdated case that has no bearing on actual modern day law ""sucks"" because it took over 5 hours and drove him fucking crazy...",,,
can't decided if she is going to jacksonville saturday or not.,,,
"""*propname*"" and ""*propname*"" are my two middle names. everyone calm down now...",,,
finds it funny that the rule of the road change to survival in the snow storm,,,
"is my name and i'm here to say, i have the symptoms of an awesome day!",,,
just livin' the dream,,,
why did i want to win? because i didn't want to lose!,,,
tcif!,,,
proves to be awesome at picking out paint colors.,,,
rawwaarwaarr!!!,,,
is about to start wrapping christmas presents!,,,
"love looks not with the eye but with the mind and therefore, is winged cupid painted blind?",,,
getting another potential car checked out by my mechanic tomorrow...god i hope one of these fucking things works out soon! *blows up apartment*,,,
i want a puppy dammit.,,,
"you are beautiful, sir. but i hope you're interesting, too. do you read? do you think about what you read? i specifically told the agency i wanted someone who thinks about what he reads.",,,
just got scolded for reckless soldering. my bad kg!,,,
is trying to fight it off,,,
is going to post this year.,,,
i have no water right now. why,,,
"we are the world should not, under any circumstances, have auto-tune.  or a rap solo.  or vince vaughn.",,,
today did suck...*propname* came home with 40 mega rolls of one ply toilet paper....i am going to be using prison tp until at least easter!,,,
is at the underground comedy lounge in downtown la this wednesday at 8 and the downtown comedy club this friday and saturday at 9pm.  see you all there!,,,
sometimes i realise how insignificant i am in the universe. then i get over it.,,,
must find time to go xmas shopping...ahhh!,,,
has landed in boston and is back at work.  :d,,,
and with the onset of autumn comes the autumn cold. fml,,,
will hot chocolate make me feel better?,,,
"""i'm like a lawyer with the way i'm always trying to get you off""",,,
balkanization of the media!,,,
going to the hot springs for the hpac opening party.,,,
would love a rainbow race right now! :(,,,
curvy lip spike be funnnn!,,,
"dirt divas championships, then off to denver!",,,
i am so jealous of everyone that is already of thanksgiving break...,,,
rip prague nights fall semester 2007,,,
"wonders which is more inappropriate; heckling during a presidential address to congress or the president himself calling a private citizen a ""jackass"".",,,
new favorite cocktail = champagne & chambord...delicious!,,,
feels special:),,,
"after months of failure, i am going to try to come up to la for a day before everybody disappears. i'm thinking this friday?",,,
may you be in heaven half an hour before the devil know your dead...,,,
"jesus, guide me through this day.",,,
"the new england journal of medicine reports that 9 out of 10 doctors agree that 1 out of 10 doctors is an idiot.""~ *propname*",,,
wants a neon cactus.,,,
oh life.,,,
davis is toxic...,,,
"""oh hi i am laura 3.0, i live in new york and wear a sweater cape"" -jjc",,,
is making rice krispies treats!,,,
wanted to go to las haciendas 2nite...,,,
crue rocked!!!!!!!!!!!!!,,,
"community health promotion exam tomorrow...bed soon, then i can start thinking about it being almost the holidays :o)",,,
"oh bangkok, i will miss you and your lady boy calypso show haha",,,
is going shopping for college stuff!  wooo!!!,,,
it doesn't work to leap a twenty-foot canyon in two ten-foot jumps,,,
is trying to find an apartment.,,,
i went sailing  today with the fergies and rich pearsall. i polluted the pacific a little more that it was alreaddy ,(,,
thank god that woman finally left the friggin' house!!!,,,
"took the first step toward developing a green thumb today. windowbox basil, anyone?",,,
takes home more from her monthly salary then she realized!,,,
im so bored today..... im always bored... i dont know why... hmmm,,,
paramore ticket presale next weekend - anyone else getting tickets?,,,
if you can't walk in heels take a taxi... coco chanel,,,
is done with the mapss midterm and much happier because of it.,,,
fuck yeah! *propname* 'ass-raped by *propname*.,,,
"women lie, men lie, numbers don't lie!",,,
the endorphin rush of going to the gym after three weeks of being fat and lazy is a nice change of pace,,,
"finally saw avatar in imax 3d last night, simply amazing!",,,
i have at least one crazy child who is back on the football field!!,,,
is stuck on medium!!!! :),,,
my body doth protest about ye olde basketballe yesterday. at least we gave the youngsters a good beat down.,,,
ahhhhhhhhhhh i cant think of what 2 write 4 the next scene of my play im freakin out d=,,,
doesn't like thunder :(,,,
anyone have my gray wool coat? or remember the last time you saw it last night.... opps,,,
nst nst nst nst nst nst nst nst nst nst,,,
not at all enjoying *propname* being on 2nd shift when i'm home for the weekend :(,,,
wonders why engineers are overrepresented in terrorist organizations.,,,
"hooked on weeds without any way of getting my next dose soon. damn you, netflix instant queue and your empty promises.",,,
"im sorry jay i should have included you in that pranck as well.  i miss you man.  i was looking at old pics of ""raised"".  i couldn't have done it without you.  you will always have a special place in my heart",,,
"is lost, but in 2010 hopefully she will find her way and is making a promise to put herself first :)",,,
packing for the move back to berkeley. so pumped for some cheeseboard.,,,
has a paper!,,,
is back in the left coast,,,
freakin beat and super hungry.,,,
put this as your status if you or somebody you know has suffered the loss of a baby ? the majority won't put it on because unlike cancer. baby loss is a taboo... break the silence ? this is in memory of all the angel babies...gone too soon but never forgotten about!!? show your support and let these women know they don't have to grieve alone.,,,
last trauma exam tomorrow! ooo ooooo!,,,
had good talkings tonight. fun times were had by all.,,,
monday night malaise,,,
how do you play poker?!,,,
"merry christmas,  happy hanica happy kwanza and whatever other celebrations there are today",,,
just got up.,,,
"good luck on shelves tomorrow, friends!",,,
"is home from germany, had a good time ... tired",,,
is bored in her own home... come and save me,,,
"snow, snow!  i love it so!!!!  xd  but getting to class is gonna be interesting....",,,
"if this societal obsession with vampires had happened while i was going through my ""phase"" in middle school, it really could have changed my life.",,,
"just had chicken mcnuggets for dinner. this is a new low. and it's called ""short call at chop.""",,,
"just for the record, kim just made me log into her account to harvest her farmville raspberries",,,
"this new diet has opened a whole new world of cuisine. tonight's dish prisoner-of-war stew with beans, rice, and more beans.",,,
"spent monday night in a plie of leaves, 150 feet above lake superior.",,,
is it more funny or more funnier? i dunno use it in a sentence. it was just more funnier...,,,
is writing a psychology essay.,,,
blue to grey.....grandir et s'envoler.,,,
woww! soo busy.. but working to create some time to relax during this weekend :),,,
is excited for july 3rd.,,,
14 more days... ogre will be slaughtered first!,,,
is with rellies... has three days.. is wondering who'll he'll meet next. in uk,,,
"i'm hungry na,.",,,
mission for the day: find my car under that 8-ft mound of wintry precipitate.,,,
chocolate snow...some stay warm and others feel the cold.,,,
any one have any clue as to what the new novelty fried fair food is going to be this year???  what was at the oc county fair?  i'm plotting my plan of attack at the state fair...  ,),,
"greed, for lack of a better word, is gy.",,,
mag-usap tayo sa tagalog!,,,
"everyone drank all the beer, all the spirits, but the one can of strongbow still remains!",,,
snowing!  all of atlanta grinds to a halt for a snow flurry....so glad i am at home!  careful driving with the crazies out there people!,,,
stx on friday hit me up if you want in....the greatest potential for control tends to exist at the point where action takes place.,,,
classes are getting in the way of my college life...,,,
is in love. with *propname*.,,,
"just ""is.""",,,
just got the most amazing rainbow tutu and leggings!,,,
buenos noches! hasta manana *propname* people!,,,
they call me mr. pig!!!! ahhhhhhhhhh!!!!!!!!!!!! i love the lion king,,,
finished her last presentation tonight!!! now two exams tomorrow morning...on the bright side one of them is human sexuality :od i am a total erotophile and proud of it :op,,,
"hangin' with *propname*...stay awake, stay awake! *pokes self with fork*",,,
can't decide if it's good or bad that med students score worse than a monkey randomly choosing an answer for some of these usmle questions...,,,
c'est dangereux de danse parmi les chiennes de graisse,,,
can't wait for noon-thirty on thursday!,,,
going to the gym again. :),,,
not doing too well in the coordination department today. i ran the motorbike up some stair this morning and almost ate it just now (yet again on some stairs),,,
"<insert depressing, emo lyrics here>",,,
its fun 2 lock younger siblings outside wen it cold nd dark... especially wen dey bein anoyin,,,
24 hours til lift off,,,
hug a vegetarian day!,,,
just got 16 orders all at once. sick.,,,
is not looking forward to doing my to do list the wife left me,,,
so...i never got the facination with farmville until i built my zoo...totally addicted!  if you have zooworld let me know i will send you a gift,,,
orientation creeps closer and closer like a birthday cake on wheels.,,,
"i didn't know this, but *propname* is apparently a hebrew name that means ""the lord remembers,"" which is basically incredible.",,,
ugh... i hate this. why is sleep such an issue when you're pregnant?,,,
"r.i.p., *propname*. maybe people will be less cruel to you where you are now.",,,
"so excited for new cleveland show, family guy and american dad tonight!",,,
wants to sleep eight hours tonight. and so she shall.,,,
just chillin',,,
is having a movie night with my man!!! :),,,
has gone over to the dark side..,,,
"wishes someone else would take my next profile picture, i feel they're all looking the same now.",,,
debating on whether or not to drink...alcohol...,,,
think..see. ..act...,,,
is praying that that tech guys can save her computer otherwise i start my thesis over from ground zero...,,,
"is sick of removing quiz results from his news feed. please friends, just share the ones you reeeeaaaaaaaly like.",,,
is designing a mausoleum.  go halloween.,,,
heading back to la :),,,
enjoyed her wednesday night.,,,
"mmm, just planned vegas 2009. 23 days and counting.",,,
"...its winter, its spring, its winter, its spring, its winteri am noticing a patter with this weather.",,,
i'd rather steal your whiskey than your heart in conversation.,,,
can't sleep . . . work will be fun tomorrow :),,,
s heart is on its way back to fort wayne.,,,
got a job working on the seasfront..love it!,,,
"shall live in the sunshine, swim the sea, and drink the wild air's salubrity.",,,
"i like my horoscope today: ""it's the time to play. why play halfway? go ahead. have the fun you're after. all of it.""",,,
hmmmmm what can i do tonight???,,,
i want two bunnies...they are soooooo cute:),,,
go bears!!! very very proud to be berkeley alumni!!! go bears!!... oh stanford...you're just never good enough... :(,,,
neeeeeeds the dodgers to win this series :(,,,
is excited to kick it old school with an old friend in a new place,,,
"contemplating the forms and plato's utopian society as i write my paper on plato.  please note that i do not actually agree with plato's ideas, but i find them fascinating.",,,
driving down mosel to luxembourg! then catching the early bird tomo to baaar-the-looona yippee,,,
finally found out who got her hubby and kid sick... and is pissed that she didn't find out until her son started puking.,,,
so not a day for work... good thing i'm working nights this week... :d,,,
is having a games night with the girls if anyone is interested in joining???,,,
"came home to a box of panda licorice, a favorite. i feel loved.",,,
anyone who can be replaced by a machine deserves to be,,,
needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?,,,
hardly strictly tomorrow may we all have fun and make it out alive,,,
"bought so many things during cyber monday, he's memorized his credit card number. ://",,,
what a gorgeous day it is,,,
is now addicted to mafia wars. thanks *propname*!,,,
"grrrrrr. why am i ridiculously, awkward-moment-inducingly shy sometimes?",,,
"finished one essay.  another four-paged essay to go.  but first, a 3 hour nap. :3",,,
bet awards sunday at 8.  i will not forget this year.,,,
goin to the dmv... woohoo!,,,
so i got tired of learning about the law in the abstract and decided that i'd go ahead and have a cop issue me with a citation for a court appearance. yay... field trip!,,,
trying out chrome for the first time seems pretty quick on the uptake,,,
vw ... ,)p hmmmmm,,
"know what sucks, when there is this one person who the first time you saw them you thought they had absolutely one of the most lovable personalities and nicest smiles ever and you try to let them know that they mean so much to you in the little time you have around them and somewhat fail to do that then you keep in touch with them nearly every week you're not around them for a year and you see them only",,,
needs to make herself a budget...school supplies (aka coffee maker :op) and a gym pass??? first term books = $350.00 i wonder what qualifications i need to write//publish text books?,,,
"is pleased the american people will now have the time to read the government-run health care bill or have it interpreted for them. apparently, this is a luxury our representatives (and president) couldn't find the time in their busy schedules to accomplis",,,
thinks imperfections are lovely.,,,
"what's this song i'm hearing on the radio with sirens, screams and gunshots?  oh right, it's ""santa claus is coming to town.""",,,
doesn't want to write her paper...,,,
might need to start figuring out what organs she can sell on the black market...,,,
you always knew just how to make me cry | and never did i ask you questions why | it seems you get your kicks from hurting me | don't try to understand me | because your words just aren't enough | love is a feeling | give it when i want it | quench my des,,,
is officially ont he road to wrestlemania.,,,
wanted more than life could ever grant. she's bored with the chore of saving face.,,,
it's getting a mite windy out there...,,,
"damn, u.s. beat spain? we should be proud",,,
"yuppie (short for ""young urban professional"" or ""young upwardly-mobile professional"") [1] is a 1980s and early 1990s term for financially secure, upper-middle class young people in their 20s and early 30s.  [2]. although its first usage was as a media catchphrase, it eventually became somewhat derogatory in nature.",,,
can't wait for fair bowl!,,,
"omigawd, thank you",,,
"finally, one outline completely down...only 3 to go - and a long way to go at that. next semester will be different, really!",,,
in kailua... 12 dager til norge...,,,
...will make a better attempt at cleaning tomorrow.,,,
time for more school..in japan!!,,,
"work on the forum is done for today..... now time to get lunch for me, connor and the baby and watch wall-e again.....",,,
"once again can't sleep, but too tired to do anything productive.",,,
hates that he gets home from choir at 9:30 or 10:00 and glee doesn't go up online till about 1 am ><,,,
is boycotting the 30% chance of rain//snow on saturday.,,,
hates writing papers!!!!!!! i don't know how english majors do it!,,,
"lately i've been hard to reach, i've been too long on my own.  everybody has their private world where they can be alone. are you calling me? are you trying to get through? are you reaching out for me? i'm reaching out for you...",,,
tax refund!,,,
really wants to take french and arabic but then i really won't have any free time in the fall,,,
is about to go for a thankgiving hike with her family :),,,
needs free and lazy costume ideas. the polls are open!,,,
...,,,
had a wonderful weekend with *propname* and his family! :),,,
you can not have my blood,,,
can't breathe and feels like her insides are clawing their way out through her belly button. i hate pain.,,,
recently realized there's a large whole in his theoretical structure of life.  it may be a few interations before he has a working solution.,,,
"beverly hills, ca or london, uk ...",,,
donuts.,,,
"had a gud nite!!! might go to melb later, feel like a train adventure!",,,
tuesday is here!! home after my property class... happy birthday to my meme myrtle (my grandma) who is 80 years old today!!! :)  she's the best and i'm so lucky she's my grandma!,,,
is ready to kick some bacteria butt!,,,
done with my paper finally =]],,,
happy thanksgiving all!,,,
was handed a random baby at the temple today for a photo opt...happy pongal.,,,
"c'mon, michigan!",,,
a prospering tree does not eat it's own fruit. a prospering tree produces fruit that others might eat.,,,
"thinks tonight was a pretty good night, even if *propname* is incapable of finding bathrooms in strada",,,
"wants to live where soul meets body, and let the sun wrap its arms around her, and bathe her skin in water cool and cleansing, and feel, feel what it's like to be new.",,,
is sad that she's shorter than the shortest semi-finalist on cycle 13 of antm (*propname*'s french accent is scary).,,,
needs to add water to the fishtanks...,,,
"rock and roll baby, dont u know that we're all alone now, i need something to sing about",,,
"doing my brothers paper routes, then french class, then work, then finally home",,,
"""the world may end in 2012 but this show won't."" xd lol!",,,
regrets that he might have to dispose of his pumpkin (*propname*) as he is becoming a little furry and wonders if giving him a quick shave might do the job,,,
is getting very excited about decorating for christmas! we are heading out to get a tree and all that fun stuff in a while:),,,
happy dashain! dashain ko subhakamana sabaai laai! :),,,
has a *propname* in seattle!,,,
ready for an awesome summer at stanford!!,,,
thinks that people should learn more about a foreign country's customs and be more polite in said foreign country!,,,
is at *propname*'s. *propname* to be exact.,,,
my son breaks his ankle on the football field and his only concern is that he missed the pool party with the cheerleaders!,,,
"just canceled out the vote of an obnoxious, be-cashmere-scarved prettyman chanting ""*propname*, hare krishna, *propname*"" in the middle of starbucks. health care for all!",,,
is feeling a little subbydub today.,,,
is not for the narrow minded!,,,
"my alarm clock & i had a fight. it wanted me to get up, i refused. things escalated. now i'm awake & its broken. not sure who won the fight",,,
is off to her first day of school!,,,
wow! that was a really spicy lunch in østersund! time to walk it off.... ,),,
heading to the paign for tomm night... better be ready,,,
had the biggest week in my company's history and its only tuesday! yay! www.cdmpropertypreservation.com,,,
"work and then study, study, study!!!",,,
pain is painful.,,,
i just had a dream that combined the grudge + twilight + harry potter + pokemon. malfoy had unsealed the grudge demon from within bella and bulbasaur and jigglypuff had to save the world. wtf? that doesn't even make sense.,,,
"start my emergency department training tomorrow!! oo, ooo!",,,
go vikes!!,,,
"last night, i learned that my little boy (*propname*) loves wine as much as i do; hence, i will no longer be able to set my wine glasses on the ground.",,,
is going to wrestlemania.,,,
"pumped from working out at konami, but is cramming japanese for the lesson tomorrow.",,,
"wishes someone would invent a cure for migrainesthird day with a headache so much work to do this weekend!!! coffee, tylenol and studying.",,,
"tired as hell, 12 hr shift on a day off is simply nutz",,,
all of a sudden i'm really really excited for christmas <3,,,
has cable:),,,
forgot the most important paperwork for tomorrow in la!!! #@#!@!#r#%#!!!!,,,
"is drawing instead of homeworking. :| this is fun, but not good.",,,
"is watching reruns of house on hulu. house rocks, and when he comes back in two weeks we will see how much worse the crazy people are when house goes at them.",,,
is too liberal for canandaigua.,,,
maybe we will also go out as a huge goup and trick-or-treat :) if you need directions just ask me in a message.,,,
mmm...home-made pizza. :),,,
is back in chicago (for now).,,,
ready for summerfest!,,,
"gonna read ""shf""",,,
"is monsterballin' (*propname* is awesome!), then off to a weekend of rockin' out with siblings and relaxing in giant blanket forts.",,,
just broke 200 pages :),,,
"""i believe the world is burning to the ground. oh well, i guess we're gonna find out""--how far have we come, lord? let us make the most of the time we do have here. we waste too much time on so many things that don't matter. its not worth it. really.",,,
"is filling his diaries with references to dinosaurs and bigfoot.  this way, when the world ends and future historians have only my diary for primary sources, they'll think that at least the world was awesome before it ended.  if you care about tricking the future into believing our era was the awesomest ever, i encourage you to do the same.  together, we can do it!",,,
goodbye new york,,,
is writin',,,
"a lion will never cheat on his wife, only a tiger wood. lol.",,,
everywhere and messy!,,,
is doin' alright. something i've come to realize: you can't depend on anyone all the time...but almost all the time is a damn good percentage!,,,
"of all my 80,000,000 ancestors, one of them must be winnie the pooh.",,,
is celebrating the birth of *propname*!,,,
finally has apartment pictures up.,,,
there's nothing to writing. all you do is sit down at a typewriter and open a vein.,,,
loves loves loves the gin blossoms!,,,
"along with wife *propname*, have decided to celebrate filing their first, joint tax return in that good-old-fashioned american way, by purchasing a new tv.",,,
"doesn't get it--even when i get enough sleep, i run out of energy long before the day is over...what gives?!  this rampant exhaustion really puts a cramp on my life & times...and now i'm gonna go sleep some more.  hmph!",,,
potatoes!,,,
"""i believe it all is coming to an end. oh well, i guess we're gonna pretend"". ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? if i can't see you, you can't see me..lol..i want us all to stop ignoring the important things. they won't go away if you ignore them. i promise.",,,
is rearranging her room. :d. much fun.,,,
1. on campus housing too expensive. 2. there is no fat or sugar in this house how is life possible. 3. so many stupid looking dogs so many stupid looking dogs,,,
"dem gracias a todos los que vinieron, me ayudaron dem!!!! *propname*, *propname*, *propname* y *propname* gratcie por tocar  y poner todo! son exitosos...",,,
is making internets!,,,
is rehauling her facebook...warning...warning...information and photos may (dis)appear...,,,
humana jud ko sa annotated. :d,,,
"new year's resolutions... why wait until january? screw that, december is my month! i will exercise daily. i will not fall asleep randomly without brushing teeth (eww). i will clean my room weekly. i will not save files with names like 'adsvdsq.' i will finish all tasks by 75% of the deadline. and for motivation, i will move $100 from my checking to my savings account each time i fail! go go self-improvement!",,,
"got a white christmas of her own: hilltop house engulfed in a cloud all day! thx for pulling through, st. john ;-)",,,
oh thank goodness i have monday night tv to look forward to :)  gotta love <3 abc family :),,,
love actually makes me want christmas.,,,
is making cds and making out with *propname*.,,,
